City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
551,Muros,ES,61.99,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
556,Pontianak,ID,78.78,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
562,Nishihara,JP,65.48,overcast clouds,26.1842,127.7558,Minshuku Agaihama
565,Mahanoro,MG,77.29,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
569,Bandarbeyla,SO,75.34,few clouds,9.4942,50.8122,JABIR HOTEL
572,Tarimbaro,MX,62.24,clear sky,19.7833,-101.1333,Farmacia
574,Tomatlan,MX,78.42,clear sky,19.9333,-105.25,El Salvial
576,Ardakan,IR,62.98,clear sky,32.31,54.0175,Ardakan Hotel
582,Matara,LK,76.35,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
587,Sao Sebastiao,BR,78.76,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
589,Banjar,ID,76.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
590,Itoman,JP,66.22,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
593,Dalbandin,PK,62.37,clear sky,28.8947,64.4101,Gidaan Guest House
595,Namatanai,PG,78.17,light rain,-3.6667,152.4333,Seagulls Inn Namatani
596,Andros Town,BS,76.96,overcast clouds,24.7,-77.7667,Hanks place
599,Tocopilla,CL,72.88,clear sky,-22.092,-70.1979,Hotel Galvarino
602,Hualmay,PE,74.61,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
603,Capao Da Canoa,BR,77.85,clear sky,-29.7456,-50.0097,Hotel Araçá
607,Kingaroy,AU,64.44,clear sky,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
611,Galle,LK,76.53,overcast clouds,6.0367,80.217,Amangalla
612,Hirara,JP,67.66,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
613,Nuevo Progreso,MX,64.6,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
615,Chandbali,IN,69.08,scattered clouds,20.7833,86.7667,KABITA HOMES
617,Gainesville,US,66.07,clear sky,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
622,Diego De Almagro,CL,76.89,clear sky,-26.3667,-70.05,hotel luna del desierto
627,Tautira,PF,77.02,broken clouds,-17.7333,-149.15,Pension Oaoa
628,Saquarema,BR,78.82,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
629,Dingle,PH,75.34,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
631,Kupang,ID,77.49,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
632,Bireun,ID,77.0,broken clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
633,Magway,MM,71.69,few clouds,20.15,94.9167,Htein Htein Thar 2
634,Buckeye,US,65.19,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
635,Coolum Beach,AU,72.1,clear sky,-26.5333,153.1,Coolum Beach Resort
636,Barcelos,PT,64.85,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
639,Bure,ET,67.35,overcast clouds,10.7,37.0667,Holiday
642,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
643,Redlands,US,70.99,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
644,Yarada,IN,77.32,mist,17.65,83.2667,Yarada Jungle Beach Resorts
648,Hervey Bay,AU,70.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
650,Kasama,ZM,65.34,light rain,-10.2129,31.1808,Kalebalika Cottages
651,Hobyo,SO,77.11,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
653,Vila Velha,BR,78.94,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
661,Turbat,PK,71.62,clear sky,26.0023,63.044,Mubashar Quarters
664,Cairns,AU,76.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
668,Richards Bay,ZA,79.9,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
671,Baghdad,IQ,64.31,scattered clouds,33.3406,44.4009,Baghdad Hotel
678,Ishigaki,JP,69.31,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
680,Mesetas,CO,78.22,overcast clouds,3.3846,-74.0442,Hotel Doña Betty
684,Hwange,ZW,77.83,light rain,-18.3693,26.5019,Hwange Colliery Guest House
690,Dubbo,AU,64.53,few clouds,-32.25,148.6167,Quality Inn Dubbo International
