City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Sens,FR,48.1667,3.3333,48.27,66,6,4.83,clear sky
325,Lasa,IT,46.6166,10.7002,45.7,89,92,8.3,overcast clouds
326,Hachinohe,JP,40.5,141.5,18.41,95,78,4.97,broken clouds
327,Ayagoz,KZ,47.9714,80.4392,-8.21,100,85,4.36,overcast clouds
328,Gunjur,GM,13.2019,-16.7339,98.67,12,0,18.41,clear sky
329,Cururupu,BR,-1.8283,-44.8683,82.69,74,97,4.54,overcast clouds
330,Sabla,NG,12.7525,4.7077,92.46,6,7,12.88,clear sky
331,Nizhniy Kuranakh,RU,58.8353,125.4869,-19.07,99,100,1.45,overcast clouds
332,Port Hawkesbury,CA,45.6169,-61.3485,45.91,60,0,14.97,clear sky
333,Grindavik,IS,63.8424,-22.4338,32.47,64,75,14.97,broken clouds
334,Gizo,SB,-8.103,156.8419,78.66,85,100,8.32,light rain
335,Narsaq,GL,60.9167,-46.05,23.22,66,100,6.49,overcast clouds
336,Fukue,JP,32.6881,128.8419,50.94,57,100,13.82,overcast clouds
337,Wukari,NG,7.85,9.7833,98.42,6,9,8.9,clear sky
338,Mezhevoy,RU,55.1711,58.7814,15.22,97,100,3.24,overcast clouds
339,Gardez,AF,33.5974,69.2259,19.35,53,1,3.4,clear sky
340,Tabas,IR,33.5959,56.9244,60.39,26,70,4.92,broken clouds
341,Marawi,PH,7.9986,124.2928,66.65,96,52,0.83,broken clouds
342,Uniontown,US,39.9001,-79.7164,52.43,28,76,4.0,broken clouds
343,Tatawin,TN,32.9297,10.4518,59.88,41,100,7.09,overcast clouds
344,Kawardha,IN,22.0167,81.25,60.91,29,1,5.88,clear sky
